Local time,Open,High,Low,Close,Volume
01.07.2020 02:20:00.000 GMT-0300,9088,9088,9086,9086,0.0683
01.07.2020 02:21:00.000 GMT-0300,9086,9086,9086,9086,0.1425
01.07.2020 02:22:00.000 GMT-0300,9086,9087,9085,9086,0.405
01.07.2020 02:23:00.000 GMT-0300,9087,9088,9086,9087,0.0232
01.07.2020 02:24:00.000 GMT-0300,9087,9087,9086,9087,0.038
01.07.2020 02:25:00.000 GMT-0300,9087,9087,9086,9086,0.073
01.07.2020 02:26:00.000 GMT-0300,9086,9087,9086,9086,0.1725
01.07.2020 02:27:00.000 GMT-0300,9086,9087,9086,9086,0.1575
01.07.2020 02:28:00.000 GMT-0300,9087,9089,9087,9089,0.053
01.07.2020 02:29:00.000 GMT-0300,9089,9089,9086,9088,0.1105
01.07.2020 02:30:00.000 GMT-0300,9088,9091,9088,9091,0.3075
01.07.2020 02:31:00.000 GMT-0300,9091,9093,9090,9092,0.3675
01.07.2020 02:32:00.000 GMT-0300,9092,9096,9092,9095,0.8475
01.07.2020 02:33:00.000 GMT-0300,9095,9097,9094,9096,0.6
01.07.2020 02:34:00.000 GMT-0300,9096,9097,9095,9095,0.255
01.07.2020 02:35:00.000 GMT-0300,9095,9097,9095,9095,0.3
01.07.2020 02:36:00.000 GMT-0300,9095,9095,9095,9095,0.0525
01.07.2020 02:37:00.000 GMT-0300,9095,9097,9094,9095,0.1425
01.07.2020 02:38:00.000 GMT-0300,9095,9097,9095,9095,0.3301
01.07.2020 02:39:00.000 GMT-0300,9095,9096,9094,9094,0.2405
01.07.2020 02:40:00.000 GMT-0300,9094,9096,9093,9094,0.4435
01.07.2020 02:41:00.000 GMT-0300,9094,9094,9094,9094,0.2475
01.07.2020 02:42:00.000 GMT-0300,9094,9095,9094,9094,0.0153
01.07.2020 02:43:00.000 GMT-0300,9094,9094,9093,9093,0.0752
01.07.2020 02:44:00.000 GMT-0300,9093,9094,9093,9093,0.1279
01.07.2020 02:45:00.000 GMT-0300,9093,9093,9093,9093,0.2403
01.07.2020 02:46:00.000 GMT-0300,9093,9093,9093,9093,0.0233
01.07.2020 02:47:00.000 GMT-0300,9093,9094,9093,9094,0.0002
01.07.2020 02:48:00.000 GMT-0300,9094,9094,9094,9094,0.0002
01.07.2020 02:49:00.000 GMT-0300,9094,9094,9094,9094,0.0003
01.07.2020 02:50:00.000 GMT-0300,9094,9094,9093,9093,0.0005
01.07.2020 02:51:00.000 GMT-0300,9093,9093,9092,9093,0.0002
01.07.2020 02:52:00.000 GMT-0300,9093,9093,9092,9092,0.0003
01.07.2020 02:53:00.000 GMT-0300,9092,9092,9092,9092,0.0003
01.07.2020 02:54:00.000 GMT-0300,9092,9092,9092,9092,0.0005
01.07.2020 02:55:00.000 GMT-0300,9092,9093,9091,9092,0.1608
01.07.2020 02:56:00.000 GMT-0300,9090,9092,9090,9092,0.0079
01.07.2020 02:57:00.000 GMT-0300,9092,9092,9091,9091,0.0005
01.07.2020 02:58:00.000 GMT-0300,9091,9091,9091,9091,0.0008
01.07.2020 02:59:00.000 GMT-0300,9091,9091,9088,9091,0.0302
01.07.2020 03:00:00.000 GMT-0300,9091,9091,9088,9088,0.2631
01.07.2020 03:01:00.000 GMT-0300,9089,9089,9088,9088,0.0002
01.07.2020 03:02:00.000 GMT-0300,9089,9092,9089,9091,0.1725
