,y+1
707,1.834
708,3.4619999999999997
709,3.486
710,2.91
711,0.9359999999999999
712,0.33799999999999997
713,1.926
714,2.42
715,2.438
716,2.43
717,2.454
718,0.424
719,0.716
720,2.4619999999999997
721,2.46
722,2.418
723,1.0
724,0.298
725,1.65
726,2.31
727,2.332
728,2.242
729,0.22399999999999998
730,0.752
731,2.33
732,2.322
733,2.312
734,0.76
735,0.364
736,2.336
737,2.312
738,2.332
739,0.856
740,0.8640000000000001
741,2.302
742,2.324
743,1.8519999999999999
744,0.226
745,2.184
746,2.38
747,1.92
748,0.254
749,2.164
750,2.5540000000000003
751,2.026
752,0.414
753,2.106
754,2.522
755,2.076
756,0.402
757,2.1180000000000003
758,2.4859999999999998
759,1.34
760,0.6659999999999999
761,2.44
762,2.426
763,1.278
764,0.43
765,2.426
766,2.3819999999999997
767,2.406
768,0.33
769,1.208
770,2.406
771,2.4419999999999997
772,2.426
773,2.432
774,2.414
775,0.484
776,0.312
777,2.352
778,2.428
779,2.582
780,2.784
781,2.68
782,1.42
783,0.9079999999999999
784,3.194
785,3.3280000000000003
786,2.67
787,1.238
788,1.12
789,0.5920000000000001
790,0.8
791,0.82
792,0.7959999999999999
793,0.7979999999999999
794,0.6940000000000001
795,0.6940000000000001
796,0.758
797,0.682
798,0.664
799,0.642
800,0.66
801,0.636
802,0.66
803,0.638
804,0.478
805,0.316
806,0.33
807,0.38
808,0.522
809,0.42200000000000004
810,0.262
811,0.22
812,0.24600000000000002
813,0.212
814,0.242
815,0.222
816,0.24
817,0.21600000000000003
818,0.228
819,0.21
820,0.276
821,0.322
822,0.336
823,0.318
824,0.314
825,0.32799999999999996
826,0.308
827,0.326
828,0.304
829,2.206
830,2.338
831,2.362
832,2.356
833,2.324
834,2.2640000000000002
835,2.28
836,2.258
837,2.306
838,2.2880000000000003
839,2.3
840,2.346
841,2.378
842,2.346
843,2.35
844,2.326
845,2.336
846,2.326
847,0.504
848,0.268
849,1.734
850,2.318
851,2.322
852,2.302
853,2.318
854,2.302
855,2.29
856,2.376
857,0.368
858,0.332
859,1.734
860,2.416
861,2.4
862,2.418
863,2.388
864,2.406
865,2.378
866,1.1640000000000001
867,0.3
868,0.7
869,2.376
870,2.32
871,2.278
872,2.28
873,2.278
874,2.294
875,2.28
876,2.3
877,0.21
878,0.21600000000000003
879,2.256
880,2.312
881,2.2880000000000003
